Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie
2003-01-05,4.0055,4.0259,3.9718,3.9904
2003-01-12,3.9931,4.0288,3.9777,4.0177
2003-01-19,4.0201,4.103,3.9985,4.071
2003-01-26,4.0695,4.2436,4.057,4.1657
2003-02-02,4.1743,4.186,4.0779,4.1095
2003-02-09,4.103,4.1798,4.0885,4.1734
2003-02-16,4.1658,4.1787,4.1156,4.1644
2003-02-23,4.1478,4.2061,4.1321,4.1872
2003-03-02,4.1854,4.219,4.1679,4.2184
2003-03-09,4.2259,4.3481,4.2259,4.3207
2003-03-16,4.3239,4.4095,4.294,4.294
2003-03-23,4.3369,4.3865,4.2921,4.2941
2003-03-30,4.3207,4.3874,4.3146,4.38
2003-04-06,4.4004,4.4929,4.3477,4.3745
2003-04-13,4.3416,4.3545,4.2389,4.254
2003-04-20,4.2495,4.3047,4.2355,4.2503
2003-04-27,4.2597,4.3152,4.228,4.2994
2003-05-04,4.2926,4.3022,4.2317,4.2462
2003-05-11,4.2598,4.3465,4.2434,4.3167
2003-05-18,4.3401,4.3516,4.3015,4.3199
2003-05-25,4.3538,4.3823,4.3124,4.3313
2003-06-01,4.3429,4.4122,4.3306,4.3745
2003-06-08,4.3777,4.4868,4.3514,4.389
2003-06-15,4.3595,4.4951,4.3392,4.4418
2003-06-22,4.4476,4.474,4.3659,4.4153
2003-06-29,4.404,4.4946,4.4032,4.437
2003-07-06,4.4551,4.4905,4.4016,4.4476
2003-07-13,4.4386,4.4695,4.4204,4.4417
2003-07-20,4.4386,4.4958,4.4194,4.4672
2003-07-27,4.4578,4.4841,4.3932,4.4052
2003-08-03,4.3916,4.4263,4.3411,4.3912
2003-08-10,4.3988,4.3988,4.3479,4.3596
2003-08-17,4.3496,4.3942,4.3407,4.3645
2003-08-24,4.3632,4.3824,4.3348,4.356
2003-08-31,4.3578,4.3755,4.3237,4.3602
2003-09-07,4.3621,4.4667,4.3341,4.4283
2003-09-14,4.4447,4.4681,4.397,4.4444
2003-09-21,4.4543,4.5497,4.4294,4.4889
2003-09-28,4.5026,4.5522,4.456,4.5261
2003-10-05,4.5297,4.6531,4.5127,4.53
2003-10-12,4.4752,4.5792,4.4744,4.5431
2003-10-19,4.5246,4.6459,4.5026,4.5926
2003-10-26,4.606,4.7072,4.5765,4.6732
2003-11-02,4.6759,4.7137,4.6283,4.6771
2003-11-09,4.6863,4.6882,4.5735,4.6043
2003-11-16,4.6279,4.6293,4.5427,4.5606
2003-11-23,4.5729,4.681,4.5623,4.673
2003-11-30,4.6747,4.7141,4.6158,4.6758
2003-12-07,4.668,4.6894,4.6088,4.6468
2003-12-14,4.6511,4.6832,4.631,4.6588
2003-12-21,4.6541,4.6637,4.6286,4.6429
2003-12-28,4.6479,4.6785,4.6319,4.6681
2004-01-04,4.6625,4.7459,4.6552,4.6832
2004-01-11,4.6961,4.7119,4.646,4.6877
2004-01-18,4.6866,4.7673,4.6808,4.7003
2004-01-25,4.7159,4.7455,4.6736,4.6791
2004-02-01,4.6832,4.8111,4.6677,4.7989
2004-02-08,4.7871,4.8975,4.7591,4.8552
2004-02-15,4.8473,4.8857,4.812,4.8524
2004-02-22,4.8556,4.931,4.8454,4.8853
2004-02-29,4.9005,4.9093,4.8029,4.8888
2004-03-07,4.9137,4.9426,4.7984,4.8446
2004-03-14,4.8373,4.8385,4.7262,4.7301
2004-03-21,4.74,4.7597,4.6966,4.7065
2004-03-28,4.7003,4.7742,4.6844,4.741
2004-04-04,4.7304,4.7594,4.6994,4.7089
2004-04-11,4.7025,4.7495,4.699,4.7375
2004-04-18,4.7318,4.8266,4.7088,4.7976
2004-04-25,4.7847,4.799,4.732,4.7513
2004-05-02,4.7463,4.82,4.7461,4.8104
2004-05-09,4.8235,4.8291,4.7068,4.7556
2004-05-16,4.7609,4.789,4.7381,4.7574
2004-05-23,4.772,4.7939,4.6631,4.6711
2004-05-30,4.659,4.6769,4.6238,4.638
2004-06-06,4.6411,4.6718,4.627,4.6488
2004-06-13,4.6612,4.6624,4.5767,4.5816
2004-06-20,4.5756,4.5925,4.5471,4.5839
2004-06-27,4.581,4.5967,4.5475,4.5587
2004-07-04,4.5548,4.559,4.4905,4.5173
2004-07-11,4.5204,4.5379,4.5024,4.5154
2004-07-18,4.5105,4.5229,4.4033,4.4244
2004-07-25,4.4206,4.481,4.409,4.4452
2004-08-01,4.4443,4.4505,4.3685,4.375
2004-08-08,4.3917,4.439,4.3735,4.3831
2004-08-15,4.3914,4.4604,4.3678,4.4438
2004-08-22,4.4489,4.4881,4.4042,4.4602
2004-08-29,4.4605,4.5025,4.3874,4.4485
2004-09-05,4.4463,4.4687,4.4043,4.4077
2004-09-12,4.4142,4.4158,4.3665,4.3931
2004-09-19,4.3947,4.3982,4.3211,4.3302
2004-09-26,4.3283,4.3637,4.2983,4.3444
2004-10-03,4.3406,4.3898,4.324,4.3387
2004-10-10,4.3205,4.3441,4.3008,4.3314
2004-10-17,4.3303,4.3311,4.2807,4.3092
2004-10-24,4.3039,4.3105,4.2688,4.2786
2004-10-31,4.2946,4.3775,4.2917,4.3138
2004-11-07,4.3231,4.3255,4.2582,4.2748
2004-11-14,4.2762,4.3049,4.247,4.2771
2004-11-21,4.2682,4.2741,4.2252,4.231
2004-11-28,4.2289,4.2337,4.1915,4.2167
2004-12-05,4.2175,4.2207,4.1526,4.1721
2004-12-12,4.1642,4.2348,4.1615,4.2127
2004-12-19,4.2047,4.2143,4.1362,4.1461
2004-12-26,4.1386,4.145,4.0543,4.0685
2005-01-02,4.0697,4.0939,4.0427,4.0736
2005-01-09,4.0635,4.1394,4.0615,4.0867
2005-01-16,4.087,4.0967,4.0502,4.0763
2005-01-23,4.0688,4.1248,4.0545,4.0695
2005-01-30,4.0732,4.0786,4.041,4.045
2005-02-06,4.0506,4.0825,3.9598,3.9733
2005-02-13,3.9619,4.0385,3.9512,4.0049
2005-02-20,4.0044,4.0243,3.9647,3.9859
2005-02-27,3.9858,3.9885,3.9015,3.9099
2005-03-06,3.9123,3.9491,3.8691,3.906
2005-03-13,3.8924,3.9852,3.8687,3.9517
2005-03-20,3.9542,4.1417,3.9506,4.0386
2005-03-27,4.0361,4.1464,4.0342,4.1251
2005-04-03,4.1193,4.1945,4.0557,4.0946
