Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie
2003-01-05,1341,1351,1288,1319
2003-01-12,1315,1356,1313,1345
2003-01-19,1347,1371,1317,1364
2003-01-26,1362,1436,1350,1410
2003-02-02,1412,1431,1381,1404
2003-02-09,1411,1494,1409,1440
2003-02-16,1441,1465,1339,1366
2003-02-23,1373,1381,1319,1368
2003-03-02,1371,1415,1340,1360
2003-03-09,1372,1405,1345,1373
2003-03-16,1384,1414,1319,1345
2003-03-23,1370,1416,1356,1357
2003-03-30,1357,1376,1335,1347
2003-04-06,1357,1375,1311,1321
2003-04-13,1322,1322,1261,1283
2003-04-20,1282,1294,1257,1277
2003-04-27,1276,1318,1276,1297
2003-05-04,1301,1301,1267,1290
2003-05-11,1290,1313,1288,1307
2003-05-18,1310,1347,1310,1328
2003-05-25,1319,1390,1307,1362
2003-06-01,1362,1386,1317,1342
2003-06-08,1369,1402,1347,1360
2003-06-15,1383,1394,1309,1329
2003-06-22,1309,1377,1309,1362
2003-06-29,1383,1392,1335,1343
2003-07-06,1347,1366,1320,1362
2003-07-13,1372,1381,1337,1352
2003-07-20,1352,1402,1347,1372
2003-07-27,1359,1394,1351,1387
2003-08-03,1395,1406,1368,1374
2003-08-10,1363,1365,1331,1362
2003-08-17,1366,1432,1364,1414
2003-08-24,1429,1464,1398,1441
2003-08-31,1440,1500,1421,1491
2003-09-07,1492,1519,1476,1510
2003-09-14,1504,1528,1465,1488
2003-09-21,1496,1527,1483,1501
2003-09-28,1485,1569,1485,1534
2003-10-05,1567,1567,1480,1498
2003-10-12,1496,1496,1417,1425
2003-10-19,1436,1489,1411,1463
2003-10-26,1461,1534,1455,1519
2003-11-02,1526,1594,1498,1548
2003-11-09,1557,1584,1499,1526
2003-11-16,1513,1564,1498,1534
2003-11-23,1533,1568,1504,1545
2003-11-30,1549,1569,1511,1553
2003-12-07,1553,1561,1511,1537
2003-12-14,1535,1572,1532,1546
2003-12-21,1543,1557,1511,1535
2003-12-28,1530,1538,1526,1534
2004-01-04,1542,1563,1539,1544
2004-01-11,1533,1584,1514,1543
2004-01-18,1550,1594,1549,1554
2004-01-25,1568,1569,1513,1523
2004-02-01,1538,1617,1502,1549
2004-02-08,1546,1561,1487,1516
2004-02-15,1513,1596,1513,1568
2004-02-22,1569,1632,1546,1588
2004-02-29,1585,1587,1527,1545
2004-03-07,1554,1589,1528,1562
2004-03-14,1544,1579,1530,1556
2004-03-21,1543,1585,1525,1579
2004-03-28,1575,1656,1570,1649
2004-04-04,1647,1684,1617,1653
2004-04-11,1680,1680,1611,1643
2004-04-18,1672,1672,1583,1599
2004-04-25,1592,1614,1563,1588
2004-05-02,1591,1619,1521,1560
2004-05-09,1529,1594,1518,1545
2004-05-16,1553,1564,1477,1511
2004-05-23,1499,1537,1466,1497
2004-05-30,1491,1506,1476,1497
2004-06-06,1495,1524,1449,1473
2004-06-13,1450,1490,1450,1467
2004-06-20,1455,1499,1439,1494
2004-06-27,1499,1512,1475,1506
2004-07-04,1495,1521,1439,1461
2004-07-11,1466,1487,1433,1482
2004-07-18,1470,1474,1425,1434
2004-07-25,1439,1469,1430,1442
2004-08-01,1441,1448,1397,1407
2004-08-08,1415,1439,1398,1426
2004-08-15,1429,1447,1408,1428
2004-08-22,1428,1461,1427,1457
2004-08-29,1463,1517,1453,1497
2004-09-05,1480,1491,1462,1468
2004-09-12,1459,1481,1413,1435
2004-09-19,1440,1450,1412,1443
2004-09-26,1442,1467,1420,1453
2004-10-03,1452,1464,1445,1463
2004-10-10,1471,1479,1440,1472
2004-10-17,1474,1474,1426,1451
2004-10-24,1443,1452,1419,1437
2004-10-31,1451,1469,1429,1449
2004-11-07,1450,1455,1403,1432
2004-11-14,1431,1449,1420,1443
2004-11-21,1436,1459,1427,1448
2004-11-28,1441,1450,1425,1433
2004-12-05,1432,1442,1396,1421
2004-12-12,1417,1422,1362,1380
2004-12-19,1370,1389,1345,1377
2004-12-26,1355,1363,1325,1329
2005-01-02,1315,1331,1294,1313
2005-01-09,1326,1333,1291,1310
2005-01-16,1301,1323,1288,1315
2005-01-23,1316,1337,1310,1331
2005-01-30,1329,1345,1309,1323
2005-02-06,1325,1325,1271,1273
2005-02-13,1282,1310,1276,1306
2005-02-20,1296,1313,1293,1302
2005-02-27,1301,1303,1275,1287
2005-03-06,1278,1300,1265,1279
2005-03-13,1276,1315,1263,1308
2005-03-20,1337,1353,1319,1333
2005-03-27,1352,1362,1320,1349
2005-04-03,1380,1384,1339,1360
2005-04-10,1362,1367,1349,1359
2005-04-17,1345,1377,1342,1358
2005-04-24,1363,1394,1358,1389
2005-05-01,1401,1444,1395,1438
2005-05-08,1438,1439,1359,1366
2005-05-15,1370,1399,1366,1391
2005-05-22,1401,1404,1378,1392
2005-05-29,1383,1402,1375,1385
2005-06-05,1395,1424,1387,1420
2005-06-12,1402,1419,1390,1416
2005-06-19,1435,1461,1423,1457
2005-06-26,1460,1475,1446,1464
2005-07-03,1467,1477,1430,1431
2005-07-10,1439,1468,1426,1441
2005-07-17,1434,1465,1432,1442
2005-07-24,1430,1454,1426,1442
2005-07-31,1446,1456,1424,1441
2005-08-07,1429,1447,1425,1441
2005-08-14,1426,1459,1414,1449
2005-08-21,1460,1466,1430,1454
2005-08-28,1432,1452,1432,1439
2005-09-04,1446,1458,1388,1402
2005-09-11,1398,1429,1391,1418
2005-09-18,1437,1462,1419,1460
2005-09-25,1465,1532,1461,1488
2005-10-02,1503,1537,1484,1516
2005-10-09,1542,1546,1502,1530
2005-10-16,1527,1553,1511,1521
2005-10-23,1522,1545,1492,1518
2005-10-30,1525,1566,1508,1560
2005-11-06,1563,1569,1508,1540
2005-11-13,1556,1614,1552,1612
2005-11-20,1603,1654,1587,1643
2005-11-27,1643,1678,1622,1655
2005-12-04,1634,1673,1626,1662
2005-12-11,1645,1734,1643,1718
2005-12-18,1679,1725,1588,1620
2005-12-25,1612,1640,1589,1625
2006-01-01,1627,1685,1627,1676
2006-01-08,1652,1698,1637,1690
2006-01-15,1681,1756,1668,1749
2006-01-22,1744,1802,1718,1755
2006-01-29,1734,1776,1718,1758
2006-02-05,1764,1824,1760,1803
2006-02-12,1808,1829,1733,1744
2006-02-19,1764,1770,1698,1739
2006-02-26,1742,1780,1740,1777
2006-03-05,1775,1805,1751,1791
2006-03-12,1799,1813,1749,1769
2006-03-19,1774,1795,1733,1753
2006-03-26,1764,1815,1752,1811
2006-04-02,1827,1905,1821,1879
2006-04-09,1886,1959,1882,1925
2006-04-16,1929,1957,1921,1940
2006-04-23,1950,2034,1913,1995
2006-04-30,1978,2013,1928,1996
2006-05-07,2007,2054,1978,2046
2006-05-14,2049,2207,2017,2146
2006-05-21,2182,2212,2019,2042
2006-05-28,2039,2084,1967,2008
2006-06-04,1991,2034,1887,1938
2006-06-11,1955,1979,1895,1905
2006-06-18,1920,1939,1734,1866
2006-06-25,1875,1929,1815,1908
2006-07-02,1898,1964,1869,1959
2006-07-09,1937,2005,1926,1984
2006-07-16,1998,2129,1962,2125
2006-07-23,2160,2180,1918,1932
2006-07-30,1918,1973,1868,1962
2006-08-06,1968,2011,1938,1942
2006-08-13,1937,1982,1894,1914
2006-08-20,1911,1926,1849,1868
2006-08-27,1857,1932,1853,1921
2006-09-03,1924,1942,1879,1933
2006-09-10,1928,1989,1904,1917
2006-09-17,1905,1909,1780,1802
2006-09-24,1813,1838,1781,1826
2006-10-01,1832,1901,1815,1872
2006-10-08,1859,1875,1734,1781
2006-10-15,1784,1832,1772,1829
2006-10-22,1840,1851,1799,1817
2006-10-29,1827,1829,1772,1821
2006-11-05,1828,1903,1810,1898
2006-11-12,1887,1895,1832,1867
2006-11-19,1874,1887,1824,1846
2006-11-26,1841,1876,1837,1870
2006-12-03,1859,1867,1829,1848
2006-12-10,1848,1853,1791,1802
2006-12-17,1801,1819,1776,1779
2006-12-24,1788,1806,1778,1802
2006-12-31,1812,1851,1809,1845
2007-01-07,1831,1873,1799,1812
2007-01-14,1805,1880,1795,1876
2007-01-21,1872,1904,1862,1886
2007-01-28,1886,1975,1875,1956
2007-02-04,1968,1984,1931,1945
2007-02-11,1939,2001,1930,1998
2007-02-18,2017,2018,1967,1982
2007-02-25,1978,2026,1941,2008
2007-03-04,2020,2035,1894,1902
2007-03-11,1917,1943,1882,1914
2007-03-18,1908,1922,1872,1907
2007-03-25,1900,1931,1894,1910
2007-04-01,1908,1947,1902,1914
2007-04-08,1915,1941,1892,1924
2007-04-15,1922,1941,1908,1937
2007-04-22,1934,1945,1900,1926
2007-04-29,1931,1933,1857,1883
2007-05-06,1887,1899,1844,1890
2007-05-13,1894,1911,1845,1863
2007-05-20,1867,1888,1835,1851
2007-05-27,1861,1884,1843,1854
2007-06-03,1851,1899,1849,1897
2007-06-10,1892,1909,1847,1856
2007-06-17,1863,1882,1845,1860
2007-06-24,1861,1870,1828,1836
2007-07-01,1840,1841,1796,1810
2007-07-08,1791,1819,1777,1801
2007-07-15,1808,1826,1800,1814
2007-07-22,1812,1867,1801,1860
2007-07-29,1861,1887,1829,1838
2007-08-05,1833,1851,1826,1850
2007-08-12,1854,1862,1813,1851
2007-08-19,1861,1907,1832,1864
2007-08-26,1869,1882,1846,1877
2007-09-02,1874,1892,1852,1887
2007-09-09,1882,1960,1879,1944
2007-09-16,1929,1953,1913,1929
2007-09-23,1929,1974,1927,1954
2007-09-30,1950,1975,1928,1973
2007-10-07,1966,1989,1921,1970
2007-10-14,1975,1979,1932,1967
2007-10-21,1955,2010,1948,1981
2007-10-28,1978,1982,1923,1971
2007-11-04,1983,2031,1948,2023
2007-11-11,2025,2099,2012,2067
2007-11-18,2076,2081,1956,1975
2007-11-25,1983,2051,1918,2044
2007-12-02,2050,2078,1914,1927
2007-12-09,1934,1974,1912,1940
2007-12-16,1928,2007,1925,1980
2007-12-23,2004,2045,1980,2043
2007-12-30,2040,2081,2017,2053
2008-01-06,2061,2126,2031,2098
2008-01-13,2122,2188,2092,2167
2008-01-20,2153,2211,2139,2184
2008-01-27,2226,2272,2105,2239
2008-02-03,2237,2290,2188,2191
2008-02-10,2188,2291,2148,2287
2008-02-17,2298,2309,2187,2201
2008-02-24,2203,2300,2195,2270
2008-03-02,2256,2268,2198,2244
2008-03-09,2264,2296,2217,2252
2008-03-16,2265,2276,2218.2,2259.7
2008-03-23,2305.8,2315.1,2065.8,2115.3
2008-03-30,2100.3,2131.2,2064.3,2070
